segment_id	source_path	en_stage	ja_stage	zh_hant_tw_stage
ODY-B09-S03	source/segments/ODY-B09-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B10-S01	source/segments/ODY-B10-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B10-S02	source/segments/ODY-B10-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B10-S03	source/segments/ODY-B10-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B11-S01	source/segments/ODY-B11-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B11-S02	source/segments/ODY-B11-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B11-S03	source/segments/ODY-B11-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B11-S04	source/segments/ODY-B11-S04_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B12-S01	source/segments/ODY-B12-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B12-S02	source/segments/ODY-B12-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B12-S03	source/segments/ODY-B12-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B13-S01	source/segments/ODY-B13-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B13-S02	source/segments/ODY-B13-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B13-S03	source/segments/ODY-B13-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B14-S01	source/segments/ODY-B14-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B14-S02	source/segments/ODY-B14-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B14-S03	source/segments/ODY-B14-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B15-S01	source/segments/ODY-B15-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B15-S02	source/segments/ODY-B15-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B15-S03	source/segments/ODY-B15-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B16-S01	source/segments/ODY-B16-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B16-S02	source/segments/ODY-B16-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B16-S03	source/segments/ODY-B16-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B17-S01	source/segments/ODY-B17-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B17-S02	source/segments/ODY-B17-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B17-S03	source/segments/ODY-B17-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B17-S04	source/segments/ODY-B17-S04_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B18-S01	source/segments/ODY-B18-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B18-S02	source/segments/ODY-B18-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B18-S03	source/segments/ODY-B18-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B19-S01	source/segments/ODY-B19-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B19-S02	source/segments/ODY-B19-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B19-S03	source/segments/ODY-B19-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B20-S01	source/segments/ODY-B20-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B20-S02	source/segments/ODY-B20-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B21-S01	source/segments/ODY-B21-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B21-S02	source/segments/ODY-B21-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B21-S03	source/segments/ODY-B21-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B22-S01	source/segments/ODY-B22-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B22-S02	source/segments/ODY-B22-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B22-S03	source/segments/ODY-B22-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B23-S01	source/segments/ODY-B23-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B23-S02	source/segments/ODY-B23-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B24-S01	source/segments/ODY-B24-S01_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B24-S02	source/segments/ODY-B24-S02_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
ODY-B24-S03	source/segments/ODY-B24-S03_SOURCE.md	SOURCE_READY	SOURCE_READY	SOURCE_READY
